Source	Target
2	KMO
2	PPARD
2	PTGER3
2	KYNU
2	MAOA
2	SLC6A2
2	CYP1A2
2	MMP14
2	NR3C1
2	OPRK1
2	FOLH1
2	NEU3
2	MMP13
2	MMP12
2	CA3
2	NAALAD2
2	FYN
2	TYR
2	EGFR
2	LCK
2	PTPN2
2	ADRA2A
2	ADRA2C
2	ADRA2B
2	CHRM2
2	CHRM1
2	HTR2C
2	TACR2
2	CHRM3
2	ADRB3
2	ADORA3
2	P2RY6
2	LAP3
2	CACNA2D1
2	GLO1
2	GRM4
2	KDM4E
2	AR
2	PGR
2	ACLY
2	ACHE
2	IGF1R
2	SRC
2	PTK2
2	KDR
2	ALK
2	EDNRB
2	EDNRA
2	POLA1
2	NR1H3
2	NR1H2
2	CTBP2
3	POBA
3	FABP1
3	STAMBP
3	GLRA3
3	NAN
3	PDE4B
3	PSMD14
3	SLC40A1
3	COPS5
3	GUSB
3	PDE4C
3	RET
3	CA2
3	CA1
3	CA9
3	TYMP
3	F2
3	GABRB3
3	CD38
3	PSMB8
3	CA12
3	NISCH
3	TYMS
3	PNP
3	ESR2
3	BACE2
3	BACE1
3	CHRM1
3	CHEK1
3	METAP2
3	SRC
3	FABP1
3	PSMB5
3	IDO1
3	TDO2
3	ACHE
3	AR
3	MPI
3	ALOX5
3	ALOX12
3	DAO
3	DDO
3	ALOX15
4	MLNR
4	RIR1
4	TRHR
4	TRHDE
4	TRH-R2
4	FPR1
4	MME
4	HDAC11
4	RNPEP
4	LAP3
4	LNPEP
4	HDAC10
4	GSP
4	CPL
4	NRP1
4	NPR
4	CAPN2
4	TACR3
4	CAD
4	CAPN1
4	EDNRA
4	ANPEP
4	SLC15A2
4	HLA-A
4	NCOR2
4	EDNRB
4	FOLH1
4	NAN
4	NAALAD2
4	NTSR1
4	ACE
4	LMCPB
4	CCKAR
4	HDAC2
4	CPA1
4	ENV
4	HDAC8
4	CPG2
4	NTSR2
4	PLA2G5
4	HDAC3
4	ITGA4
4	TAS1R1
4	MRGPRX1
4	ITGB1
4	CTSK
4	CASP1
4	CASP8
4	PAM
4	CFB
4	TACR1
4	CASP7
4	CTSL
4	HDAC6
4	NPEPPS
4	PLA2G2A
4	FPR-S1
4	CAPNS1
4	CASP3
4	SPPL2A
4	ABCC2
4	MMP1
4	ADRM1
4	PSMC6
4	PSMC1
4	PSMC3
4	PSMC4
4	PSMC2
4	PSMC5
4	PSMD11
4	PSMD12
4	PSMD13
4	PSMD1
4	PSMD2
4	PSMD3
4	PSMD4
4	PSMD6
4	PSMD7
4	PSMD8
4	SEM1
4	MMP3
4	ECE1
4	ACE2
4	CTSH
4	PFDN6
4	CTSB
4	HDAC1
4	ACE
4	DPP4
4	XIAP
4	SLC5A1
4	HLA-A
4	MME
4	CAPN1
4	PTGS2
4	PGC
4	CTSB
4	PRKCE
4	BACE1
4	DLG4
4	NTSR1
4	REN
4	XPNPEP1
4	LAP3
4	PEPD
4	SIRT1
4	XPNPEP2
4	NTSR2
4	ECE1
4	HSD11B1
4	ELANE
4	TNFRSF10A
4	FPR2
4	GLO1
4	FOS
4	FNTA
4	PGA5
4	FURIN
4	CFB
4	NRP1
4	DRD2
4	BIRC3
4	BIRC2
4	MMP2
4	CTSA
4	HGFAC
4	F2
4	CTSE
4	ADAM9
4	P2RX7
4	MMP3
4	MMP9
4	CASP1
4	TTR
4	PCSK6
4	CTSD
4	ITGB1
4	AKR1B1
4	CREBBP
4	TRHR
4	ADORA1
4	HLA-DRB3
4	AKR1A1
4	GRM4
4	ITGB1
4	GRK2
4	ITGA2
4	SIRT2
4	ITGB1
4	CASP3
4	EGFR
4	ITGAV
4	ITGAL
4	PRKCD
4	ADAM12
4	PARP1
4	MMP8
4	CYP26A1
4	FAP
4	PPP5C
4	TBXAS1
4	PPP1CA
4	PARP15
4	PPARA
4	PARP10
4	NOTUM
4	CTSL
4	PDE9A
4	PLA2G2A
4	LTA4H
4	APEX1
4	CDC25B
4	CPB2
4	HDAC4
4	ALOX5
4	BCAT2
4	SLC22A12
4	KDM6B
4	PTGDR2
4	KDM4D
4	KDM4C
4	PTGS1
4	CDC25A
4	CXCL8
4	KLKB1
4	PRSS1
4	PPARG
5	FIMH
5	CD22
5	MAG
5	GGTA1
5	LGALS9
5	NAN
5	FGF1
5	LGALS3
5	IMA1
5	PYGM
5	SLC5A1
5	B4GALT1
5	FGF2
5	SLC5A2
5	LGALS1
5	VEGFA
5	ABCB1
5	LGALS7
5	F3
5	CA14
5	TYR
5	SI
5	PRKCA
5	SELP
5	LGALS3
5	LGALS9
5	HSP90AA1
5	SLC6A2
5	SSTR5
5	SSTR2
5	SSTR4
5	SSTR1
5	SSTR3
5	ABCB1
5	VEGFA
5	FGF1
5	FGF2
5	HPSE
5	F10
5	AMY1A
5	PTPN1
5	SERPINE1
5	PTPN2
5	BACE1
5	SQLE
5	PTAFR
5	SELP
5	AKR1B1
5	PDE4D
5	PSEN2
5	BCHE
5	FDFT1
5	TDP1
5	PPM1A
5	SLC6A3
5	OPRK1
5	CDK1
5	SLC5A2
5	PRKCG
5	PRKCD
5	PRKCA
5	PRKCB
5	PRKCE
5	PRKCH
5	PRKCQ
5	GLRA1
5	GLRA2
5	ADRB2
5	TACR1
5	HTR2B
5	ADRA2A
5	ADRA2C
5	ADRA2B
5	DRD1
5	DRD2
5	ADRA1D
5	HTR2A
5	HTR2C
5	ADRA1A
5	DRD3
5	CYP2D6
5	HTR6
5	HTR1B
5	GCGR
5	ADRA1B
5	CCR6
5	SLC5A1
5	RORC
5	RYR1
5	VDR
5	MLNR
5	VCP
5	TNNC1
5	OPRM1
5	BCL2L1
5	TYR
5	LGALS4
5	LGALS8
5	TRPV1
5	ADORA1
5	AR
5	SLC5A4
5	TP53
5	STAT3
5	CES2
5	KCNH2
5	KLK7
5	KLK5
5	PTK6
5	CHRNA7
5	ALOX5
5	ACHE
5	ATP1A1
5	MAG
5	PTGS2
5	CA2
5	CA1
5	ABCB11
5	CHRM3
5	MCHR1
5	EPHX2
5	SLC6A4
5	LGALS7
5	ACACB
6	FIMH
6	CREB1
6	FASN
6	TOP1
6	AKR1B1
6	GGTA1
6	SLC5A2
6	SLC28A3
6	OPRD1
6	LGALS4
6	LGALS8
6	ACHE
6	NAN
6	PTPRS
6	P4HB
6	TYR
6	B4GALT1
6	IL2
6	FGF1
6	ARG1
6	CYP1B1
6	ST6GAL1
6	ST3GAL3
6	LGALS3
6	ALOX5
6	FGF2
6	ABCB1A
6	FABG
6	VEGFA
6	SLC5A1
6	AMY2A
6	XDH
6	GUSB
6	AMY1A
6	HES1
6	PGF
6	KCND3
6	HRAS
6	ELAVL3
6	CBS
6	ALDH1B1
6	ABCG2
6	ALOX15B
6	ALDH1A2
6	NMUR2
6	NOX4
6	TK
6	ABCB1
6	CA12
6	ABCC2
6	IL6
6	SLC5A4
6	FABZ
6	LGALS7
6	PYGM
6	NANH
6	ODC1
6	LGALS9
6	ADRB2
6	ERAP1
6	CA13
6	PARG
6	ABCC1
6	ALPI
6	GAPC
6	IL5
6	CA14
6	CA7
6	CA9
6	MNAT1
6	CLK1
6	DYRK1A
6	GRK6
6	DPP4
6	TDP1
6	IAP
6	AKR1B1
6	TNF
6	IL2
6	XDH
6	ADORA1
6	TP53
6	NMUR2
6	ADRA2A
6	ADRA2C
6	ACHE
6	CA7
6	CA12
6	RPS6KA3
6	NOX4
6	CA2
6	CA4
6	PRKCG
6	PRKCB
6	ABCC1
6	ABCB1
6	VCP
6	TNNC1
6	NQO2
6	SQLE
6	ALOX5
6	EGFR
6	PTGS2
6	PDE5A
6	CYP1B1
6	CD38
6	HIF1A
6	PLA2G2A
6	OPRD1
6	ALDH2
6	AKT1
6	PLG
6	ABCG2
6	KDM5A
6	SLC5A2
6	SOAT1
6	SOAT2
6	TDP1
6	BCL2L1
6	BCL2
6	PPARG
6	PTGS1
6	CDK5R1
6	MAOA
6	FLT3
6	CCNB3
6	GLO1
6	APP
6	SYK
6	GSK3B
6	PARP1
6	TTR
6	MMP9
6	MMP2
6	MMP12
6	AKR1B10
6	TNKS2
6	TNKS
6	TOP1
6	ARG1
6	TERT
6	CYP19A1
6	PIM1
6	ADORA2A
6	ESR2
6	PTPRS
6	CA1
6	CA9
6	ADORA3
6	KIT
6	SLC5A1
6	BACE1
6	MAPT
6	KDM4E
6	GPR35
6	AVPR2
6	TOP2A
6	IGF1R
6	INSR
6	F2
6	AURKB
6	DRD4
6	MYLK
6	MPO
6	PIK3R1
6	DAPK1
6	PYGL
6	SRC
6	PTK2
6	HSD17B2
6	KDR
6	MMP13
6	MMP3
6	CA3
6	ALOX15
6	PLK1
7	CREB1
7	CYP1B1
7	AKR1B1
7	FASN
7	ABCC3
7	MRP3
7	ACHE
7	OPRD1
7	CPPG1
7	CYP1A1
7	PRKDC
7	FIMH
7	P4HB
7	NAN
7	ABCC2
7	NPC1L1
7	RMLD
7	IL2
7	ST6GAL1
7	ST3GAL3
7	ALOX5
7	GUSB
7	ANTXR2
7	CRK2
7	XDH
7	PGF
7	ABCB1
7	AMY1A
7	ABCG2
7	KCND3
7	PTPRS
7	VRK2
7	CBS
7	MNAT1
7	REST
7	ALOX15B
7	ELAVL1
7	CLK1
7	MAK
7	ALDH1B1
7	NMUR2
7	CEL
7	ACVR2A
7	SIGMAR1
7	CALM1
7	ALDH1A2
7	CCNE2
7	SLC5A4
7	ODC1
7	CDKL5
7	CAMK4
7	CDK13
7	CSNK1A1L
7	CDC42BPB
7	STK32A
7	FGF2
7	CCNT1
7	CBR1
7	PIP5K1C
7	SLCO1A1
7	ABCC1
7	DYRK1A
7	CDK15
7	CDK5R1
7	ACVR2B
7	CDK18
7	TNKS
7	BCHE
7	CCNA2
7	SLCO1B1
7	CILK1
7	CDK14
7	DSTYK
7	RPS6KA3
7	CDK17
7	NOX4
7	ERAP1
7	DRD2
7	STK35
7	AKR1B1
7	ADORA1
7	IL2
7	XDH
7	RPS6KA3
7	ACHE
7	NQO2
7	CA2
7	NOX4
7	ADRA2C
7	NMUR2
7	ADRA2A
7	TNF
7	CA12
7	FDFT1
7	PTGS2
7	HPRT1
7	PTPN22
7	MAPK14
7	NEU2
7	HK2
7	HK1
7	ASNS
7	ALOX5
7	POLA1
7	FOLH1
7	FGF2
7	FPGS
7	MAG
7	CD38
7	IMPDH2
7	HMGCR
7	KDM4D
7	KDM4C
7	P2RY4
7	P2RY2
7	P2RY6
7	CAPN1
7	ALDH2
7	NEU3
7	NEU4
7	SLC6A2
7	SELP
7	TYMS
7	MME
7	NPC1L1
7	DNMT3B
7	ENPEP
7	LAP3
7	EGLN1
7	CASP3
7	YARS
7	CASP6
7	CASP7
7	CASP8
7	CMA1
7	CASP1
7	CA4
7	ITGB1
7	ECE1
7	KDM3A
7	POLB
7	POLG
7	KDM5B
7	DOT1L
7	FOLR1
7	GART
7	HDAC3
7	HDAC6
7	HDAC2
7	VARS
7	LARS
7	HDAC1
7	ANPEP
7	GAA
7	PYGM
7	DHFR
7	ZAP70
7	ACE
7	DNMT1
7	LGALS3
7	EIF4E
7	ERAP2
7	CA7
7	AMY2A
7	ERAP1
7	MGAM
7	PIN1
7	P2RY1
7	SLC29A1
7	NOD2
7	PRMT5
7	NNMT
7	PRMT3
7	CA13
7	IDO1
7	CASP2
7	KMT2A
7	SUV39H1
7	INMT
8	SLC6A8
8	DNM1
8	BBOX1
8	SLC5A7
8	CHRNB1
8	CHRNG
8	CHRND
8	CHRNA1
8	SLC5A7
8	CCR2
8	FABP4
8	HSD11B1
8	CHRM4
8	CHRM5
8	CHRM2
8	CHRM1
8	CHRM3
8	FABP3
8	KDM5A
8	KDM5B
8	MCL1
8	KDM4C
8	FOLH1
8	TERT
8	PDPK1
8	PTGDR2
8	FABP5
8	SRD5A1
8	SRD5A2
8	PTGER1
8	PTGS1
8	PTGS2
8	AKR1C3
8	AKR1C2
8	AKR1C1
8	AKR1B10
8	CCR9
8	PTGDR
8	AKR1B1
8	AMPD3
8	TBXAS1
8	HPGD
8	PTPRG
8	RXRA
8	KDM6B
8	MME
8	CTSB
8	PABPC1
8	TBXA2R
8	NR4A1
8	PPARG
8	PPARA
8	METAP2
8	MIF
8	PTGER4
8	PTGER2
8	PTGIR
8	ABCC1
8	PTGER3
8	SLC22A12
8	CYP19A1
8	ESR2
8	HSP90AA1
8	EDNRA
8	ACE
8	HDAC6
8	KMO
8	HDAC1
8	TTR
8	CTSV
8	CTSL
8	HAO1
8	RBP4
8	TKT
8	ERCC5
8	MDM2
8	FEN1
8	CYP26B1
8	CYP26A1
8	DHODH
8	PTGFR
9	CAD
9	PIP
9	FH
9	CPN1
9	PEPD
9	NPR
9	GRIK3
9	SLC6A12
9	CPB1
9	MBTD1
9	M
9	SLC6A1
9	GABRA3
9	GABRA2
9	SLC6A1
9	ACE
9	REN
9	GABRR1
9	EGLN1
9	ANPEP
9	GABBR2
9	F2
9	LTA4H
9	ADORA3
9	OAT
9	ITGA2B
9	NR1H4
9	PLA2G2A
9	PLA2G5
9	GABBR1
9	NOS1
9	NOS2
9	NOS3
9	MME
9	HSD17B3
9	DPP4
9	XIAP
9	CTSK
9	KISS1R
9	LAP3
9	HSD11B1
9	HLA-A
9	SLC1A2
9	SLC6A12
9	ACE2
9	ABAT
9	PTGS2
9	CPN1
9	SLC5A1
9	CAPN1
9	CTSB
9	CHRNA4
9	CHRNA3
9	BBOX1
9	EPHX2
9	CNR1
9	GABRA1
9	SLC6A11
9	SLC6A13
9	DNPEP
9	PRKCA
9	CA2
9	CA1
9	CA12
9	CA9
9	DPP7
9	SIRT2
9	FAP
9	NAAA
9	SLC5A7
9	GFPT1
9	PGC
9	DLG4
9	CTSH
9	GRM8
9	CTSL
9	PLA2G4A
9	BACE1
9	GRIK1
9	GRIA1
9	GRIK5
9	GRIA4
9	GRIK2
9	GRIK3
9	FKBP1A
9	SLC1A1
9	GRM4
9	GRM5
9	GRM7
9	PLA2G1B
9	SLC18A3
9	METAP1
9	SRD5A2
9	CNR2
9	DDAH1
9	CTSD
9	XPNPEP1
9	XPNPEP2
9	PRKCE
9	GAA
9	SI
9	PABPC1
9	NTSR1
9	FPR2
9	ENPEP
9	GSTK1
9	CFB
9	GNPAT
9	GANC
9	AR
9	LSS
9	CHRNA7
10	NOS2
10	C3AR1
10	FURIN
10	WDR5
10	BHMT
10	DHPS
10	GLNA
10	PCSK6
10	NPFFR1
10	NPFFR2
10	OTC
10	ARG1
10	GRIN2A
10	ARG2
10	QRFPR
10	TPP2
10	GCLC
10	GSP
10	GRIK3
10	MCA2
10	GRIA1
10	DHS
10	MPAO1
10	CACNA2D1
10	NAN
10	TMPRSS11D
10	GRM8
10	ST14
10	SLC7A10
10	LUXS
10	BHMT2
10	GFPT1
10	PCSK1
10	PCSK5
10	CFB
10	ASD
10	GRIK1
10	TMPRSS2
10	PCSK2
10	ALDH1A2
10	GSTM1
10	SLC7A5
10	NOS3
10	RNPEP
10	DNPEP
10	MRGPRX1
10	GRM6
10	PADI1
10	NOS1
10	TMPRSS6
10	GRIK2
10	POLA
10	NTSR2
10	GSTK1
10	PCSK7
10	RARS1
10	SLC15A2
10	BOTA
10	HPN
10	NRP1
10	GRM4
10	PADI3
10	ERAP2
10	PADI4
10	SLC17A8
10	GRIA3
10	F2RL1
10	POT1.5
10	NOD1
10	HGFAC
10	MC4R
10	MC1R
10	NTSR1
10	DPP
10	SLC1A1
10	MC3R
10	NPY4R
10	LNPEP
10	PLG
10	NPY1R
10	GRIN1
10	KLK8
10	CTSH
10	KLK4
10	PRMT1
10	ANPEP
10	TAT
10	DDAH1
10	ALDH1A3
10	PADI2
10	LASB
10	IDE
10	GRIA4
10	MC5R
10	CHIA
10	NPR3
10	CPB1
10	OPRD1
10	CCNA2
10	ODC1
10	ITGAV
10	GSTA1
10	PROC
10	TPSAB1
10	F12
10	OPRM1
10	GRIA2
10	ITGB3
10	ITGB5
10	FOLH1
10	ADAM8
10	F2
10	CTSB
10	GRIK5
10	ERAP1
10	NOS2
10	NOS3
10	NOS1
10	CHRM4
10	CHRM2
10	CHRM1
10	CPB2
10	EPHX2
10	CPN1
10	ARG1
10	KYNU
10	CFB
10	DDAH1
10	DPP8
10	FURIN
10	HTR2B
10	HTR2C
10	WDR5
10	NTSR2
10	NTSR1
10	PCSK6
10	HGFAC
10	BHMT
10	ERN1
10	EPHX1
10	CPB1
10	SLC5A1
10	PPARG
10	F2RL1
10	F10
10	KISS1R
10	PLAU
10	GABBR1
10	NRP1
10	GRM3
10	SETD7
10	FYN
10	EGFR
10	BHMT2
10	LCK
10	SLC15A1
10	GABBR2
10	OPRM1
10	ALOX5
10	LAP3
10	TMPRSS6
10	PLG
10	HPN
10	CTSH
10	ST14
10	CTSL
10	CAPN1
10	CTSB
10	GRIK1
10	GRIK2
10	PNP
10	PIM1
10	PIM2
10	LTA4H
10	SLC6A1
10	ADORA3
10	ANPEP
10	ADRB2
10	ADRB1
10	HTR2A
10	FBP1
10	GRM6
10	SIGMAR1
10	NR1H4
10	CA2
10	CA1
10	CA12
10	CA9
10	APEX1
10	CTSD
10	BACE1
10	KDM5A
10	DOT1L
10	GRIK3
10	KMO
10	YARS
10	IDE
10	BBOX1
10	SLC6A12
10	GRIN1
10	GRIN2A
10	KDM4C
10	TYMP
10	ERAP2
10	TH
10	GRIA2
10	P2RY1
10	GFPT1
10	GCLC
10	ECE1
10	ERAP1
10	KDM4E
10	SLC1A1
10	GRB2
10	FDPS
11	SLC5A7
11	BBOX1
11	ADSS
11	KDM3A
11	KDM6B
11	KDM5C
11	EGLN2
11	EGLN1
11	CHRM4
11	CHRNA4
11	CHRM5
11	CHRM2
11	CHRM1
11	CHRM3
11	CHRNA7
11	CA2
11	CA1
11	CA12
11	CA9
12	ALD
12	LNPEP
12	DLG4
12	NEU1
12	LAP3
12	PLA2G2A
12	MGAM
12	GBA
12	FUCA1
12	GLB1
12	YARS
12	MAN2B1
12	GFPT1
12	GBA2
12	UGCG
12	GANAB
12	KMT2A
12	DOT1L
12	SUV39H1
12	DNMT1
12	INMT
12	SMYD2
12	EZH2
12	EZH1
12	SETDB1
12	CARM1
12	PRMT1
12	EHMT1
12	EHMT2
12	DNMT3B
12	SI
12	OPRM1
12	PLA2G2A
12	PLA2G5
12	ADORA1
12	APEX1
12	KDR
12	SETD7
12	MANBA
12	GSTK1
12	KYNU
12	GLA
12	MME
12	OGA
12	SLC1A2
12	PRMT5
12	NNMT
12	PRMT3
12	FYN
12	EGFR
12	LCK
12	KMO
12	CA14
12	FDPS
12	FUCA2
12	GANC
12	NEU3
12	NEU2
12	SELL
12	PNP
12	HPRT1
12	ITGA2B
12	DLG4
12	PLAU
12	RNPEP
12	HAGH
12	GLO1
12	P2RY1
12	PGA5
12	PRKCE
12	CTSL
12	CTSB
12	ADAM9
12	GAA
12	SLC6A3
12	CPB1
12	QARS
12	HSD17B3
12	FDFT1
12	GRIA1
12	GRIK5
12	GRIA4
12	AHCY
12	FBP1
12	NEU4
12	ERAP2
12	OTC
12	PTPN1
12	PTP4A2
12	PTP4A1
12	PTP4A3
12	FGF2
12	TYMS
12	HLA-A
12	NAALAD2
12	GCLC
12	NR1H4
12	ACLY
12	KDM4C
12	ERAP1
12	KDM4E
12	AKR1B1
12	FPR2
12	CA4
12	ECE1
12	GGPS1
13	CAD
13	BLAPER-6
13	ADC-14
13	ADC-16
13	SHV-11
13	NAN
13	BLASCO-1
13	BCL1
13	BLA(BEL1)
13	BLAGES-13
13	TRHR
13	NPR
13	MME
13	HPD
13	HDAC11
13	GRIA3
13	SLC1A5
13	HDAC10
13	GRIA2
13	ACE
13	GRIA4
13	NCOR2
13	SLC6A12
13	ITGA2B
13	ACE
13	F2
13	LTA4H
13	EGLN3
13	REN
13	PLA2G2A
13	PLA2G5
13	SLC1A2
13	NR1H4
13	HCAR2
13	DPP4
13	XIAP
13	SLC5A1
13	DLG4
13	LAP3
13	KDM2A
13	PHF8
13	KDM5C
13	HLA-A
13	PRKCE
13	PTGS2
13	FKBP1A
13	EPHX2
13	MMP2
13	P4HTM
13	GLO1
13	ACE2
13	KDM4E
13	CAPN1
13	CTSB
13	DAO
13	CAD
13	CNR1
13	DAGLA
13	GSTK1
13	PGC
13	HSD17B3
13	CPA3
13	HSD11B1
13	CASP8
13	GRIK1
13	GRIA1
13	ADORA3
13	GRIK5
13	GRIA4
13	GRIK2
13	GRIK3
13	BACE1
13	GNPAT
13	PRKCA
13	PTGDR2
13	KDM4A
13	KDM4D
13	KDM4C
13	CTSD
13	DDO
13	DPP7
13	SIRT2
13	FAP
13	NAAA
13	PLA2G4A
13	FPR2
13	NAALAD2
13	NTSR1
13	CNR2
13	PGA5
13	NRP1
13	CFB
13	DNPEP
13	XPNPEP1
13	METAP2
13	PEPD
13	SIRT1
13	XPNPEP2
13	DPP8
13	ECE1
13	FEN1
13	NTSR2
13	FURIN
13	HSP90AA1
13	HGFAC
13	GZMB
13	PIM1
13	GRM1
13	GRM2
13	MME
13	MMP3
13	MMP9
13	MMP1
13	MMP8
13	PDF
13	GRM3
13	GRM8
13	GRM6
13	KDM7A
13	PPM1B
13	PPP1CC
13	PTGER4
13	PTGER2
14	GDA
14	TYMP
14	DEOA
14	DPYD
14	PNP
14	ACHE
14	GDA
14	ADORA1
14	ADORA2A
14	ADORA2B
14	ADORA3
14	KCNH2
14	BRD4
14	BRD2
14	BRDT
14	BRD3
14	PNP
14	CHIA
14	TYMP
14	PDE5A
14	PDE4A
14	TYMS
14	PARP1
14	TK1
14	MAOA
14	HTR2A
14	DPYD
14	FYN
14	EDNRA
14	LCK
14	CNOT7
14	MAOB
14	DRD2
14	HTR7
14	CHRNA3
14	HTR1E
14	ADRA1D
14	ADRA1A
14	ADRA1B
14	OPRM1
14	OPRK1
14	CA2
14	CA1
14	GSR
14	BRAF
14	CHEK2
14	GSK3B
14	CHEK1
14	PLAUR
14	CHRM2
14	HTR1A
14	CHRM1
14	SLC6A4
14	NGF
14	TDP2
14	DUSP3
14	CTNNB1
14	XDH
14	HCAR2
14	HPRT1
14	KDM5C
14	KDM4B
14	KDM5B
14	KDM4A
14	KDM4C
14	NOD1
14	NOD2
15	GRIK1
15	GRIK3
15	GRIK2
15	GLNA
15	RNPEP
15	BHMT
15	LAP3
15	GSP
15	SLC1A1
15	GCLC
15	SLC7A10
15	KYNU
15	NAN
15	DNPEP
15	BHMT2
15	LEUS
15	GRM8
15	ASD
15	CACNA2D1
15	MURF
15	GRIA3
15	GRIK5
15	GRM6
15	VANX
15	GFPT1
15	ARG2
15	LNPEP
15	MURI
15	MME
15	PEPN
15	GRIA1
15	SLC7A5
15	OTC
15	TH
15	SLC1A2
15	LUXS
15	GRIA2
15	ANPEP
15	GRIA4
15	SLC17A8
15	SLC15A2
15	ARG1
15	SLC1A3
15	DAPE
15	GRM4
15	GRIK2.L
15	GSTK1
15	CPA1
15	SLCO4C1
15	ENPEP
15	SLC15A1
15	SLC1A6
15	KIF11
15	NOS2
15	HLA-A
15	GRIN2A
15	SLC22A20
15	NAALAD2
15	NOS3
15	KISS1R
15	LARS1
15	KMO
15	SLC6A5
15	PLA2G5
15	PCSK6
15	SLC22A6
15	FOLH1
15	FPR-S1
15	NOD1
15	NPEPPS
15	DDAH1
15	NOS1
15	ODC1
15	PLA2G2A
15	ALB
15	CAPNS1
15	CQSS
15	PTGS2
15	GLO1
15	ERAP1
15	PTPRA
15	CACNA2D1
15	ADORA3
15	SLC1A1
15	GRM4
15	GRM5
15	GRM8
15	GRM1
15	GRM7
15	GABBR2
15	GRIK1
15	LTA4H
15	GRIK2
15	OAT
15	GRIA1
15	GABRR1
15	GRM3
15	GRM6
15	GRM2
15	GRIA4
15	GABRA1
15	SLC6A11
15	SLC6A13
15	SLC1A2
15	PLG
15	GRIK3
